id	miejsce	rola	writer_consumer	dotkniete	powod	test	etap
E02	tools/eta_calibration/evaluate.py:94-120	fit L1+L2 i history	consumer	TAK	propagować jeden target_policy do obu rodzin i refitów	spy potwierdza identyczną policy	E3
E03	tools/eta_calibration/evaluate.py:137-149,172-187	conformal target/residual	consumer	TAK	refit obejmuje offsety; inline click target jest bliźniakiem	known residual ON/OFF	E3
E04	tools/eta_calibration/evaluate.py:190-241	holdout target + baseline per courier	consumer	TAK	selektor we wszystkich ścieżkach; baseline też na tej samej semantyce	grep/AST no inline target + paired support	E3
E05	tools/eta_calibration/evaluate.py:244-285	MAE/coverage/significance/champion	consumer	TAK	metryki muszą nieść policy i wspólny exact support	same-support fingerprint; day-block bootstrap	E4
P01	tools/eta_calibration/promotion.py:45-53	target_value	consumer	TAK	delegować do jednego selektora	click parity, observable target	E3
P02	tools/eta_calibration/promotion.py:76-115	target/support fingerprints	writer	TAK	fingerprint obejmuje target_policy+resolver; starego championa nie porównywać między policy	cross-policy HOLD	E3
P03	tools/eta_calibration/promotion.py:119-193	artifact/evidence schema validation	writer+consumer	TAK	osobny namespace i jawna semantyka targetu	legacy/missing/mismatched policy HOLD	E3
P04	tools/eta_calibration/promotion.py:241-310	frozen-support compare	consumer	TAK	porównanie tylko w obrębie policy; GPS vs click to offline experiment, nie promotion gate	cross-policy rejection + exact support	E3
A01	tools/eta_calibration/calibrate.py:58-60,67-159	map paths, challenger, runtime artifacts	writer+consumer	TAK	osobne click/proxy candidate+champion; proxy nie może nadpisać click mapy	path isolation + no promote when ACK false	E3
A02	tools/eta_calibration/calibrate.py:162-184	inline target shadow pred vs real	writer+consumer	TAK	delegować target do selektora i logować policy/source/eligible aggregate; nie mieszać real w jednym polu	selector spy + jsonl schema + no raw GPS/addresses	E4
A03	tools/eta_calibration/calibrate.py:187-217	metrics record	writer	TAK	emit paired click-vs-proxy full-refit metrics i support fingerprints	metric reaches eta_calib_metrics.jsonl	E4
R01	tools/eta_calibration/replay.py:49-99	RO replay i eligibility targetu	consumer	TAK	centralny selector; wynik agregatowy per policy	DB unchanged + no raw IDs + policy support hash	E3
O01	tools/health_scoreboard.py:276-300,602-635	reader eta_calib_metrics	consumer	TAK	nie pokazywać GPS i click jako ten sam KPI; label policy/proxy i HOLD missing	parser old/new + no silent fallback	E4
O02	eta_calib_serving.py:33-65,103-147	reader champion maps i shadow promises	consumer	N-D	E1-E4 używają osobnych proxy artefaktów; bieżący click serving nietknięty	assert click path/hash unchanged	E4
O03	eta_trust.py:224-298	reader delivery map+metrics do trust gate	consumer	TAK	musi wymagać oczekiwanej policy i nie uznać click/proxy metryk za porównywalne	policy mismatch fail-closed	E4
O04	dispatch_pipeline.py:1214-1291	konsument eta_trust w Tier2 shadow	consumer	N-D	brak zmiany algorytmu; weryfikacja że O03 nadal fail-closed	pipeline fixture trust unavailable	E4
O05	dispatch_pipeline.py:3670-3678; common.py:212-216	attach/serializacja promise metrics	consumer	N-D	brak nowych best.metrics w designie; przyszły serving to osobny ACK	serializer completeness unchanged	E6
O06	shadow_dispatcher.py _METRICS_EXCLUDE; tests/test_serializer_completeness_l11.py	serializer A+B	consumer+test	N-D	metryki kalibratora idą własnym jsonl, nie best.metrics; uwzględnić dopiero przy serving flip	grep fresh jsonl if E6 adds fields	E6
O07	eta_calibration_logger.py; tools/eta_truth_map.py	legacy click-outcome obserwatory	writer+consumer	N-D	to osobna rodzina eta_calibration_log; nie wolno po cichu zmienić jej real na proxy ani mieszać KPI	jawna etykieta click pozostaje + regresja loggera	E4
T01	tools/eta_calibration/tests/test_features.py	feature build/schema tests	test	TAK	snapshot inputs, migration, provenance, mismatch, pair ordering	hermetic tmp DB/files only	E2
T02	tools/eta_calibration/tests/test_models.py	L1/L2/history/outcome-only tests	test	TAK	dwa target policies i pace twin muszą być pokryte	ON!=OFF + artifact round-trip	E3
T03	tools/eta_calibration/tests/test_evaluate.py	evaluate/conformal tests	test	TAK	pełny refit i exact common support	chronological outer fold oracle	E3
T04	tools/eta_calibration/tests/test_promotion.py	fingerprint/promotion tests	test	TAK	cross-policy zawsze HOLD bez owner gate	mutation target/policy/support	E3
T05	tools/eta_calibration/tests/test_calibrate.py	E2E job/map/log tests	test	TAK	osobne artefakty i metryka do końca	click bytes unchanged; proxy candidate isolated	E4
T06	tests/test_eta_calib_promise_shadow.py	runtime serving parity	test	N-D	regresja tylko: obecna ścieżka click ma zostać identyczna	focused regression	E4
T07	tests/test_best_effort_trusted_eta.py	eta_trust gate	test	TAK	policy/source musi wejść do evidence contract	unexpected policy fail-closed	E4
T08	tests/test_health_scoreboard.py	dashboard parser	test	TAK	widoczna semantyka proxy/click/HOLD	old+new record fixtures	E4
T09	tests/test_decision_episode_v1.py	parytet równoległego resolvera	test	TAK	S08 nie może pozostać słabszą kopią filtra kuriera/confidence	shared fixture z test_eta_truth_map_contract	E1
V01	eod_drafts/.../gps_eta_stitch_design_v2/measure_coverage_v2.py	read-only coverage/oracle harness	reader	TAK	ten commit; join (order,courier), pickup proxy, complete delivery pair	self-test PASS, two deterministic runs	E0
V02	eod_drafts/.../gps_eta_stitch_design_v2/coverage_v2.json	agregat evidence	writer	TAK	jawny PARTIAL/HOLD zamiast wymyślonej skorygowanej liczby	JSON parse + no ID/PII scan	E0
V03	pełny trainer snapshot + full refit harness	werdykt wpływu	reader	TAK	coverage nie jest sufitem; refit L1,L2,pace,conformal na tym samym outer support	paired day-block CI, bias, pinball, daily folds	E4
DOK01	tools/eta_calibration/README.md; docs/eta/06_ground_truth_contract.md; docs/decision_episode_v1_schema.md; ZIOMEK_LOGIC_REFERENCE.md	dokumentacja kontraktu	consumer	TAK	opisać proxy, fallback, policy, parytet oracle i zakaz nazwy physical pickup/handoff	doc grep vs constants/schema	E5
REL01	ZIOMEK_BACKLOG/memory/shadow-jobs-registry	handoff/obserwacja	consumer	N-D	jawny zakres tego zadania zabrania zapisów poza klonem; MAIN integruje przy wdrożeniu	handoff E5 przez aktywnego MAIN	E5
