id,domain,original_severity,final_severity,final_status,confidence,evidence_level,reverified_current_snapshot,reverification_scope,reverification_note,known_before,title,source,audit_base_sha
FEAS-04,Reguły biznesowe,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"B1 split-brain kotwicy R6 wciąż żywy: feasibility liczy od READY, 3 re-sekwencery plan_recheck od in-bag (ENABLE_CARRIED_FIRST_RELAX_READY_ANCHOR=OFF)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-05,Reguły biznesowe,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),BEST_EFFORT_ESC_TIER2_MAX_FREE_MIN=90 saturuje telemetrię eskalacji (23/23 tier2) i przeczy semantyce Strategii 2 z kanonu,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-06,Reguły biznesowe,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"ENABLE_R6_DANGER_ZONE_PENALTY (kara −16/min w 32-35) nadal env-const — flags.json nie steruje, operator nie wyłączy hot",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-07,Reguły biznesowe,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Równość no-GPS trzyma się na DWÓCH niezależnych flagach (bucket vs demote) — zgodne tylko bo obie ON,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-08,Reguły biznesowe,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,tak,Poczwórne opodatkowanie obciążonego kuriera (s_obciazenie + stopover + bug4_cap + loadgov LIVE) — pomiar D5 wciąż nie wykonany,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-09,Reguły biznesowe,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Werdykt C7 (blokada kuriera kończącego zmianę WŁĄCZONA) nadal niewykonany — ENABLE_POST_SHIFT_OVERRUN_PENALTY=OFF + mina L3 przy flipie,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-01,Bliźniaki i parytet,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Serializer zaklada best==candidates[0] - alternatives=candidates[1:] gubi kandydata i dubluje zwyciezce w 3 zywych sciezkach (dowod w logu),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-02,Bliźniaki i parytet,P2,P3,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Reczna trasa koordynatora (COORDINATOR_PLAN_LIVE=1) zapisywana bez markera manual i bez bag_signature - kanon cofa ja w <=5 min mimo komunikatu 'Trasa zapisana',recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-03,Bliźniaki i parytet,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Re-timing i relax kanonu (plan_recheck) licza nogi bez drive_speed_mult - uspiony rozjazd z symulatorem blokujacy zaplanowany flip kalibracji tempa (gold 0.78),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-04,Bliźniaki i parytet,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"Prog 35 min (R6/SLA) nadal w >=8 golych kopiach obok stalej kanonicznej - potwierdzone na HEAD (znany threshold-sprawl, wciaz otwarty)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-05,Bliźniaki i parytet,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),Best_effort pod ENABLE_BEST_EFFORT_OBJM_R6_KEY gubi bramke tier(committed)xbucket glownej selekcji - nieudokumentowany drop semantyki miedzy blizniakami,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-06,Bliźniaki i parytet,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Martwe kopie po unifikacjach zostaly w kodzie (fleet_state trio, fallback bucketa w objm_lexr6, nieaktualny komentarz w apce) - wzorzec 'fix w 1 z N bliznikow wraca'",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-07,Bliźniaki i parytet,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Runtime-monitor parytetu route-order (konsola==apka) wygasa DZIS (MONITOR_STOP_AFTER=2026-07-10) - po nim czuwanie tylko w pytest,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BLIZ-08,Bliźniaki i parytet,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Trzy bramki eskalacji best_effort czytane z DWOCH swiatow flag: BUG-E v2 zamrozona w env (getattr), OBJ F3 hot z flags.json - a wszystkie i tak obchodzone przez ALWAYS_PROPOSE",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-01,Trasy / TSP / ETA,P1,P2,CONFIRMED,high,dual_review,True,head,"Plan solvera nie jest utrwalany, lecz natychmiastowy redecide usuwa tezę o luce do 5 minut.",NIE (nowe),Plan z decyzji silnika NIGDY nie zapisuje się on-assign dla kuriera z workiem — _validate_plan_body odrzuca strategy 'ortools'/'sticky'/'greedy_fallback',recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-02,Trasy / TSP / ETA,P2,P2,CONFIRMED,high,single_review,True,head,"Błąd maskowany przez TRAS-01; naprawiać razem, aby nie odblokować złej kolejności stops.",NIE (nowe),"Bliźniacza rozbieżność serializacji stops: panel_watcher gubi przeplot odwiedzin solvera (pickup doklejany przed swój drop), plan_recheck sortuje eventy po czasie",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-03,Trasy / TSP / ETA,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),leg_min traktuje duration_s=None (null z OSRM /table) jako 0 minut — teleport zamiast sentinela; bliźniak plan_recheck broni się 9e9,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-04,Trasy / TSP / ETA,P2,P3,PLAUSIBLE,medium,single_review,False,not-reverified,,tak,Same-restaurant grouping w _ortools_plan produkuje pary PDP z powtórzonym węzłem pickup — OR-Tools INFEASIBLE i cichy spadek do greedy dokładnie w scenariuszu multi-order z jednej restauracji,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-05,Trasy / TSP / ETA,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),live_eta_cache: hipotetyczne plany z propozycji nadpisują ETA niesionych zleceń najlepszego kandydata (guard courier_id nie chroni) + dwóch pisarzy bez locka (lost update),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-06,Trasy / TSP / ETA,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Brak obserwowalności jakości solvera w shadow_decisions — regres tras po flipie A2 (solution_limit=120) niewykrywalny; is_optimal błędnie mapuje status SUCCESS,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-07,Trasy / TSP / ETA,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"Determinizm A2 tylko poza peakiem: wall-ceiling=0 zostawia produkcyjny time_limit 200 ms, który pod obciążeniem CPU tnie przed osiągnięciem 120 rozwiązań",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-08,Trasy / TSP / ETA,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Hardkodowany dwell 2.0/1.0 min w stops zapisywanych on-assign — sprzeczny z kanonem 1.0/3.5 i tier-aware; zawyża/zaniża retiming ETA,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TRAS-09,Trasy / TSP / ETA,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),O2 cap-Z reseq (LIVE) enumeruje pełne permutacje do 8 stopów w hot-path per kandydat — do ~40k symulacji sekwencji z wywołaniami OSRM route() pod RLock,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-01,Flagi — 3 światy,P1,P2,CONFIRMED,high,dual_review,True,head+effective-flag,Latentny no-op przyszłego flipa; stan zamierzony i faktyczny jest dziś OFF.,NIE (nowe),"ENABLE_CARRY_CHAIN_PENALTY: klucz-wabik w flags.json — konsument czyta wyłącznie stałą env-latched, flip w flags.json = cichy no-op",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-02,Flagi — 3 światy,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"Proces ""flip live przed rejestracją"": ENABLE_GEOCODE_PIN_MEMORY_FALLBACK ON w flags.json 19h przed dopisaniem do ETAP4 — to źródło 2 nocnych faili strażników flag; HEAD naprawił",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-03,Flagi — 3 światy,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"3 nocne faile test_working_override = wyciek ŻYWEGO manual_overrides do testów (rzeczywisty wpis kuriera koliduje z fixture); HEAD załatał punktowo, klasa otwarta",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-04,Flagi — 3 światy,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"flags.json nie jest kompletnym kanonem: ~20+ flag behawioralnych efektywnie ON wyłącznie z kod-defaultów, niewidocznych w flags.json (w tym reguły twarde R27/grafik)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-05,Flagi — 3 światy,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Jawne hasło admina apki kuriera w drop-inie systemd o trybie 644 (world-readable),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-06,Flagi — 3 światy,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,flag_div=1 (night-guard entropy) = USE_V2_PARSER known-open; zweryfikowane: dziś ŁAGODNE (jedyny prod-caller parsera to panel-watcher z env=1),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-07,Flagi — 3 światy,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"FlagSnapshot chroni wyłącznie tick shadow_dispatcher — bliźniacze ścieżki decyzyjne (czasówka, plan-recheck, panel-watcher) liczą bez zamrożenia flag",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-08,Flagi — 3 światy,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),commitment_level: martwy klucz flags.json maskowany kolizją nazwy z polem stanu zamówienia — ślepa plamka flag_hygiene_check (literal-anywhere),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-09,Flagi — 3 światy,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),"Rozjazd dokumentacji panelu: GRF02_CURRENT_FROM_PANEL flipnięte na True w kodzie (09.07), pamięć projektu/notatki wciąż mówią OFF; flip zrobiony 3. mechanizmem (default w kodzie), nie env-file",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG-10,Flagi — 3 światy,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),Werdykty DRIFT strażnika fingerprint nie mają żadnego kanału do człowieka: alert-flaga OFF + Telegram wyciszony + brak konsumenta pliku logu,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-01,Bezpieczeństwo,P1,NONE,REFUTED,high,dual_review,True,runtime-metadata,Legacy listener nie działa; w snapshotcie audytu aktywne były wyłącznie dwa nowsze porty usługi.,tak,"Kill-switch /stop (:8765) nadal bez auth — domkniecie P0 opiera sie WYLACZNIE na nieweryfikowalnym Cloud FW, host-backstop usuniety, patch auth niezaaplikowany",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-02,Bezpieczeństwo,P2,P2,CONFIRMED,high,single_review,True,head+runtime-boundary,Brak ownership order→CID; P1 dopiero w łańcuchu z publicznym wejściem.,NIE (nowe),IDOR: kurier moze zapisywac status/arrival/ground_truth/parcel-inbox dla CUDZYCH zlecen — brak ownership-guarda obecnego w blizniaczym /payment-method,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-03,Bezpieczeństwo,P2,NONE,REFUTED,high,single_review,False,not-reverified,,NIE (nowe),"Bezterminowa retencja PII (adresy klientow + nazwiska kurierow) w shadow_decisions.jsonl — brak rotacji (log_rotation.py nie istnieje), replikacja do backupow",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-04,Bezpieczeństwo,P2,P3,CONFIRMED,high,single_review,True,head+effective-limiter,"Katalog pre-login nadal publiczny, lecz per-IP limiter jest LIVE; stara matematyka brute-force była stale.",tak,GET /api/couriers bez uwierzytelnienia — enumeracja calej floty (id+imie) wspiera brute-force 4-cyfrowych PIN-ow (limity IP/global default-OFF),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-05,Bezpieczeństwo,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Stary (zrotowany) token bota Telegram pozostaje w historii git repo dispatch_v2 auto-pushowanego na GitHub,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
BEZP-06,Bezpieczeństwo,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,/root = 0755 a skrypty sterujace <local>/dispatch_control.py i <local>/gps_server.py = 0644 — czytelne dla dowolnego konta lokalnego (least-privilege),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-01,Niezawodność operacyjna,P1,P2,CONFIRMED,high,dual_review,True,runtime-metadata,"Ryzyko po reboot; oba listenery działają, stary PID pozostaje w cgroup przy KillMode=process.",NIE (nowe),"SSH w połowie przełączony na port 2222 — :22 serwuje tylko osierocony sshd spoza nadzoru systemd; po reboocie port 22 znika (ryzyko lockoutu), wczoraj 20 min bez działającego sshd",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-02,Niezawodność operacyjna,P1,P2,CONFIRMED,high,dual_review,True,runtime-metadata,"Brak bezpośredniego OnFailure/liveness; Restart= łagodzi skutek, brak aktywnej awarii.",NIE (nowe),"nadajesz-panel (jedyny kanał człowieka po wyciszeniu Telegrama) i courier-api bez OnFailure=, poza liveness-probe i bez uptime-checku — cicha awaria pozostaje niewykryta",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-05,Niezawodność operacyjna,P1,P2,PARTIAL,medium,dual_review,True,host-runtime-only,Host bind i brak backstopu potwierdzone; aktualnego Cloud Firewall nie da się dowieść z hosta.,NIE (nowe),"Porty 9222 (headless-shell DevTools), 5001 (OSRM) i 8767 (courier-api) opublikowane na 0.0.0.0 przy wyłączonym ufw (ENABLED=no) — jedyną zasłoną może być niezweryfikowalny firewall Hetzner Cloud",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-06,Niezawodność operacyjna,P1,NONE,REFUTED,high,dual_review,False,not-reverified,,tak,Klucz repozytorium restic (<redacted-secret-carrier>) istnieje wyłącznie na serwerze — utrata maszyny = nieodczytywalne backupy off-site (DR martwe),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-03,Niezawodność operacyjna,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),nadajesz-panel pracuje PONAD MemoryMax (≈760MB anon vs cap 600M po ~25h) i żyje w swapie; studio-renderer trzyma 1.5G swapu — razem główni sprawcy zużycia swap 4.3G/8G,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-04,Niezawodność operacyjna,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Drop-iny systemd nadpisują się nawzajem: zamierzona ochrona OOM -800 (oom-protect.conf) efektywnie wynosi -100 dla dispatch-shadow/panel-watcher i 0 dla dispatch-gps; Restart=always gps zdegradowany do on-failure,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-07,Niezawodność operacyjna,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"PERF-SLO w peaku łamany DZIŚ (p50 973-1000ms>700, p95 2099-2156ms>1500, 'nadal >2h') — flip A2 z 08.07 nie domknął ogona peak; alerty tylko na cichym bocie (LOW)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-08,Niezawodność operacyjna,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Tygodniowy digest strażaka (weekly-firefighter) 2 tygodnie z rzędu NIE dostarczony — cichy bot zwraca fail, treść ląduje tylko w pliku feedu",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-09,Niezawodność operacyjna,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"dispatch-cod-weekly nadal pada w każdy poniedziałek (potwierdzone 06.07 exit 1) — alert dochodzi, ale job nie wykonuje pracy",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
OPS-10,Niezawodność operacyjna,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Hasło admina courier-api jawnym tekstem w world-readable drop-inie systemd (644) zamiast przez EnvironmentFile z .secrets — mimo rotacji P0 z 05.07,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-01,Integralność danych,P1,P2,CONFIRMED,high,dual_review,True,cross-repo-head+approved-handoff,"Panelowy writer woła save_plan bez expected_version, a zatwierdzony handoff potwierdza aktywny carrier zapisu planu.",NIE (nowe),Panel koordynatora pisze courier_plans.json bez CAS przy fladze LIVE — lost-update w obu kierunkach z silnikiem,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-02,Integralność danych,P2,P3,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),logrotate copytruncate na shadow_decisions/learning_log/sla_log — okno bezpowrotnej utraty rekordów przy każdej rotacji,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-03,Integralność danych,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Eventy pending bez żadnego konsumenta gniją w events.db (od maja), a cleanup usuwa tylko processed",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-04,Integralność danych,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Inflacja rekordu shadow_decisions (mediana ~66KB, p90 ~128KB vs zakładane ~40KB) kurczy okna czytników ogona",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-05,Integralność danych,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Mieszane konwencje TZ w jednym rekordzie orders_state: naive-Warsaw (picked_up_at/delivered_at) obok aware-UTC (updated_at),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-06,Integralność danych,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),event_bus.mark_processed bez CAS statusu — spóźnione wywołanie flipuje failed→processed i ukrywa poison event przed DLQ,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DANE-07,Integralność danych,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),Brak fsync katalogu po os.replace we wszystkich writerach stanu poza geocoding.py — po power-loss zapis może się cofnąć,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-01,Integracje i mosty,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Fallback parsera panelu po awarii v2 to martwy parser v1 (hardcode 46\d{4}) — zwraca 0 zleceń zamiast błędu,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
